"Time (s) Run #1","Current (A) Run #1","Voltage (V) Run #1","ElectronCurrent (10^-10 A) Run #1"
20.900,1.765E-13,2.2,0.00
20.950,1.787E-13,2.2,0.00
21.000,1.799E-13,2.2,0.00
21.050,1.799E-13,2.2,0.00
21.100,1.830E-13,2.2,0.00
21.150,1.874E-13,2.2,0.00
21.200,1.879E-13,2.2,0.00
21.250,1.796E-13,2.2,0.00
21.300,1.810E-13,2.3,0.00
21.350,1.849E-13,2.3,0.00
21.400,1.898E-13,2.3,0.00
21.450,1.866E-13,2.3,0.00
21.500,1.886E-13,2.3,0.00
21.550,2.003E-13,2.3,0.00
21.600,1.866E-13,2.3,0.00
21.650,1.807E-13,2.3,0.00
21.700,1.763E-13,2.3,0.00
21.750,1.873E-13,2.3,0.00
21.800,1.753E-13,2.3,0.00
21.850,1.779E-13,2.3,0.00
21.900,1.875E-13,2.3,0.00
21.950,1.747E-13,2.3,0.00
22.000,1.782E-13,2.3,0.00
22.050,1.716E-13,2.3,0.00
22.100,1.718E-13,2.3,0.00
22.150,1.779E-13,2.3,0.00
22.200,1.742E-13,2.3,0.00
22.250,1.726E-13,2.3,0.00
22.300,1.749E-13,2.3,0.00
22.350,1.799E-13,2.3,0.00
22.400,1.823E-13,2.3,0.00
22.450,1.901E-13,2.3,0.00
22.500,1.864E-13,2.3,0.00
22.550,1.907E-13,2.3,0.00
22.600,1.837E-13,2.3,0.00
22.650,1.819E-13,2.3,0.00
22.700,1.849E-13,2.3,0.00
22.750,1.921E-13,2.3,0.00
22.800,1.902E-13,2.3,0.00
22.850,1.786E-13,2.3,0.00
22.900,1.732E-13,2.3,0.00
22.950,1.737E-13,2.3,0.00
23.000,1.746E-13,2.3,0.00
23.050,1.815E-13,2.3,0.00
23.100,1.714E-13,2.3,0.00
23.150,1.648E-13,2.3,0.00
23.200,1.718E-13,2.3,0.00
23.250,1.707E-13,2.3,0.00
23.300,1.782E-13,2.3,0.00
23.350,1.794E-13,2.3,0.00
